Company Name,Sector
Reliance Industries Limited,Energy
Tata Consultancy Services Limited,Information Technology
HDFC Bank Limited,Financials
Infosys Limited,Information Technology
ICICI Bank Limited,Financials
Hindustan Unilever Limited,Consumer Staples
State Bank of India,Financials
Bajaj Finance Limited,Financials
Housing Development Finance Corporation Limited,Financials
Bharti Airtel Limited,Telecommunication Services
Kotak Mahindra Bank Limited,Financials
Wipro Limited,Information Technology
HCL Technologies Limited,Information Technology
ITC Limited,Consumer Staples
Adani Green Energy Limited,Utilities
Asian Paints Limited,Materials
Bajaj Finserv Limited,Financials
Adani Transmission Limited,Utilities
Avenue Supermarts Limited,Consumer Discretionary
Larsen & Toubro Limited,Industrials
Adani Total Gas Limited,Utilities
Axis Bank Limited,Financials
Maruti Suzuki India Limited,Consumer Discretionary
Titan Company Limited,Consumer Discretionary
Adani Enterprises Limited,Industrials
Sun Pharmaceutical Industries Limited,Healthcare
Oil & Natural Gas Corporation Limited,Energy
UltraTech Cement Limited,Materials
JSW Steel Limited,Materials
Adani Ports and Special Economic Zone Limited,Industrials
Tata Steel Limited,Materials
Power Grid Corporation of India Limited,Utilities
Vedanta Limited,Materials
Tech Mahindra Limited,Information Technology
Tata Motors Limited,Consumer Discretionary
Hindustan Zinc Limited,Materials
NTPC Limited,Utilities
Hindalco Industries Limited,Materials
Pidilite Industries Limited,Materials
Divi's Laboratories Limited,Healthcare
HDFC Life Insurance Company Limited,Financials
Coal India Limited,Materials
SBI Life Insurance Company Limited,Financials
Indian Oil Corporation Limited,Energy
Grasim Industries Limited,Materials
Larsen & Toubro Infotech Limited,Information Technology
Bajaj Auto Limited,Consumer Discretionary
Mahindra & Mahindra Limited,Consumer Discretionary
Dabur India Limited,Consumer Staples
DLF Limited,Real Estate
SHREE CEMENT LIMITED,Materials
Siemens Limited,Industrials
Cipla Limited,Healthcare
SBI Card and Payment Services Limited,Financials
FSN E-Commerce Ventures Limited,Consumer Discretionary
SRF Limited,Materials
Bharat Petroleum Corporation Limited,Energy
InterGlobe Aviation Limited,Industrials
Britannia Industries Limited,Consumer Staples
Godrej Consumer Products Limited,Consumer Staples
Tata Power Company Limited,Utilities
IndusInd Bank Limited,Financials
Havells India Limited,Industrials
ICICI Prudential Life Insurance Company Limited,Financials
TATA CONSUMER PRODUCTS LIMITED,Consumer Staples
Dr. Reddy's Laboratories Limited,Healthcare
Adani Power Limited,Utilities
MindTree Limited,Information Technology
